Time (ns),spi_master_tb.dut.tx_shift_reg
0,b0
330000,b10100101
390000,b1001010
470000,b10010100
550000,b101000
630000,b1010000
710000,b10100000
790000,b1000000
870000,b10000000
950000,b0
1190000,b1011010
1250000,b10110100
1330000,b1101000
1410000,b11010000
1490000,b10100000
1570000,b1000000
1650000,b10000000
1730000,b0
1890000,b1011010
1950000,b10110100
2030000,b1101000
2110000,b11010000
2190000,b10100000
2270000,b1000000
2350000,b10000000
2430000,b0
2590000,b10101011
2650000,b1010110
2730000,b10101100
2810000,b1011000
2890000,b10110000
2970000,b1100000
3050000,b11000000
3130000,b10000000
3210000,b0
