Signal Name,Width (bits),Total Changes,Current Value
spi_master_tb.ss_n,3,9,b111
spi_master_tb.dut.sclk,1,33,0
spi_master_tb.rx_data,3,3,b1
spi_master_tb.dut.mosi,1,8,1
spi_master_tb.dut.irq,1,8,1
spi_master_tb.dut.busy,1,9,0
spi_master_tb.CLOCK_DIVIDER,32,1,b10
spi_master_tb.DATA_WIDTH,32,1,b11
spi_master_tb.DEFAULT_DATA_ENABLED,32,1,b0
spi_master_tb.DEFAULT_DATA_PATTERN,48,1,b10000110111010101110011011101000110111101101101
spi_master_tb.DEFAULT_DATA_VALUE,16,1,b1110
spi_master_tb.FIFO_DEPTH,32,1,b10000
spi_master_tb.MODE,32,1,b11
spi_master_tb.MSB_FIRST,32,1,b1
spi_master_tb.NUM_SLAVES,32,1,b11
spi_master_tb.SLAVE_ACTIVE_LOW,32,1,b1
spi_master_tb.dut.clk,1,180,1
spi_master_tb.dut.miso,1,2,1
spi_master_tb.dut.rst_n,1,2,1
spi_master_tb.dut.start_rx,1,3,0
spi_master_tb.dut.start_tx,1,8,0
spi_master_tb.tx_data,3,5,b11
spi_master_tb.dut.CPHA,1,1,1
spi_master_tb.dut.CPOL,1,1,1
spi_master_tb.dut.SS_ACTIVE,1,1,0
spi_master_tb.dut.tx_data,3,5,b11
spi_master_tb.dut.CLOCK_DIVIDER,32,1,b10
spi_master_tb.dut.COMPLETE,3,1,b100
spi_master_tb.dut.DATA_WIDTH,32,1,b11
spi_master_tb.dut.DEFAULT_DATA_ENABLED,32,1,b0
spi_master_tb.dut.DEFAULT_DATA_PATTERN,48,1,b10000110111010101110011011101000110111101101101
spi_master_tb.dut.DEFAULT_DATA_VALUE,16,1,b1110
spi_master_tb.dut.FIFO_DEPTH,32,1,b10000
spi_master_tb.dut.IDLE,3,1,b0
spi_master_tb.dut.MODE,32,1,b11
spi_master_tb.dut.MSB_FIRST,32,1,b1
spi_master_tb.dut.NUM_SLAVES,32,1,b11
spi_master_tb.dut.RECEIVE,3,1,b11
spi_master_tb.dut.SCLK_HALF_PERIOD,32,1,b10
spi_master_tb.dut.SETUP,3,1,b1
spi_master_tb.dut.SLAVE_ACTIVE_LOW,32,1,b1
spi_master_tb.dut.TRANSMIT,3,1,b10
spi_master_tb.dut.bit_counter,5,16,b11
spi_master_tb.dut.clk_counter,16,57,b0
spi_master_tb.dut.default_data,3,1,b110
spi_master_tb.dut.last_sclk,1,33,1
spi_master_tb.dut.next_state,3,19,b0
spi_master_tb.dut.rx_data,3,3,b1
spi_master_tb.dut.rx_shift_reg,3,5,b11
spi_master_tb.dut.sclk_gen,1,33,0
spi_master_tb.dut.ss_n,3,9,b111
spi_master_tb.dut.state,3,16,b100
spi_master_tb.dut.tx_shift_reg,3,16,b0
