Signal Name,Width (bits),Total Changes,Current Value
spi_dual_tb.dut.irq,1,1,0
spi_dual_tb.dut.tx_ready,1,4,1
spi_dual_tb.ss_n,4,3,b1111
spi_dual_tb.dut.sclk,1,68,0
spi_dual_tb.dut.rx_valid,1,5,0
spi_dual_tb.rx_data,32,8,b101101
spi_dual_tb.dut.mosi,1,27,0
spi_dual_tb.dut.miso_out,1,2,1
spi_dual_tb.dut.busy,1,5,0
spi_dual_tb.CLOCK_DIVIDER,32,1,b10
spi_dual_tb.DATA_WIDTH,32,1,b100000
spi_dual_tb.DEFAULT_DATA_ENABLED,32,1,b0
spi_dual_tb.DEFAULT_DATA_VALUE,32,1,b10100101101001011010010110100101
spi_dual_tb.FIFO_DEPTH,32,1,b10000
spi_dual_tb.MAX_SLAVES,32,1,b1000
spi_dual_tb.MODE,32,1,b10
spi_dual_tb.MSB_FIRST,32,1,b1
spi_dual_tb.NUM_SLAVES,32,1,b100
spi_dual_tb.SLAVE_ACTIVE_LOW,32,1,b1
spi_dual_tb.dut.clk,1,402,1
spi_dual_tb.dut.master_mode,1,2,0
spi_dual_tb.dut.miso,1,1,0
spi_dual_tb.dut.mosi_in,1,6,1
spi_dual_tb.dut.rst_n,1,2,1
spi_dual_tb.dut.sclk_in,1,15,1
spi_dual_tb.dut.ss_in,1,3,1
spi_dual_tb.tx_data,32,2,b10100101101001011010010110100101
spi_dual_tb.dut.tx_valid,1,3,0
spi_dual_tb.dut.irq_clear,1,1,0
spi_dual_tb.dut.tx_data,32,2,b10100101101001011010010110100101
spi_dual_tb.dut.ss_n,4,3,b1111
spi_dual_tb.dut.rx_data,32,8,b101101
spi_dual_tb.dut.CLOCK_DIVIDER,32,1,b10
spi_dual_tb.dut.CPOL,32,1,b1
spi_dual_tb.dut.DATA_WIDTH,32,1,b100000
spi_dual_tb.dut.DEFAULT_DATA_ENABLED,32,1,b0
spi_dual_tb.dut.DEFAULT_DATA_VALUE,32,1,b10100101101001011010010110100101
spi_dual_tb.dut.FIFO_DEPTH,32,1,b10000
spi_dual_tb.dut.MAX_SLAVES,32,1,b1000
spi_dual_tb.dut.MODE,32,1,b10
spi_dual_tb.dut.MSB_FIRST,32,1,b1
spi_dual_tb.dut.NUM_SLAVES,32,1,b100
spi_dual_tb.dut.SAMPLE_ON_RISING,32,1,b0
spi_dual_tb.dut.SLAVE_ACTIVE_LOW,32,1,b1
spi_dual_tb.dut.SLAVE_TIMEOUT_CYCLES,8,1,b11001000
spi_dual_tb.dut.default_data,32,1,b10100101101001011010010110100101
spi_dual_tb.dut.master_bit_counter,8,33,b100000
spi_dual_tb.dut.master_busy,1,3,0
spi_dual_tb.dut.master_rx_data_buffer,32,2,b0
spi_dual_tb.dut.master_rx_shift_reg,32,1,b0
spi_dual_tb.dut.master_rx_valid_buffer,1,2,1
spi_dual_tb.dut.master_sclk_counter,8,100,b0
spi_dual_tb.dut.master_sclk_en,1,3,0
spi_dual_tb.dut.master_ss_n_reg,4,3,b1111
spi_dual_tb.dut.master_start_rx,1,1,0
spi_dual_tb.dut.master_start_tx,1,3,0
spi_dual_tb.dut.master_tx_ready_buffer,1,3,1
spi_dual_tb.dut.master_tx_shift_reg,32,34,b0
spi_dual_tb.dut.slave_bit_counter,8,8,b111
spi_dual_tb.dut.slave_busy_buffer,1,3,0
spi_dual_tb.dut.slave_rx_data_buffer,32,7,b101101
spi_dual_tb.dut.slave_rx_valid_buffer,1,3,0
spi_dual_tb.dut.slave_sclk_last_state,1,15,1
spi_dual_tb.dut.slave_ss_last_state,1,3,1
spi_dual_tb.dut.slave_timeout_counter,8,42,b0
spi_dual_tb.dut.slave_transaction_active,1,3,0
spi_dual_tb.dut.slave_tx_ready_buffer,1,3,1
spi_dual_tb.dut.slave_tx_shift_reg,32,2,b10100101101001011010010110100101
spi_dual_tb.wait_master.MASTER_TX_TIMEOUT_CYCLES,32,1,b1001110001000
spi_dual_tb.wait_master.timeout,32,101,b1100011
