Time (ns),spi_dual_tb.dut.irq,spi_dual_tb.dut.tx_ready,spi_dual_tb.ss_n,spi_dual_tb.dut.sclk,spi_dual_tb.dut.rx_valid,spi_dual_tb.rx_data,spi_dual_tb.dut.mosi,spi_dual_tb.dut.miso_out,spi_dual_tb.dut.busy,spi_dual_tb.CLOCK_DIVIDER,spi_dual_tb.DATA_WIDTH,spi_dual_tb.DEFAULT_DATA_ENABLED,spi_dual_tb.DEFAULT_DATA_VALUE,spi_dual_tb.FIFO_DEPTH,spi_dual_tb.MAX_SLAVES,spi_dual_tb.MODE,spi_dual_tb.MSB_FIRST,spi_dual_tb.NUM_SLAVES,spi_dual_tb.SLAVE_ACTIVE_LOW,spi_dual_tb.dut.clk,spi_dual_tb.dut.master_mode,spi_dual_tb.dut.miso,spi_dual_tb.dut.mosi_in,spi_dual_tb.dut.rst_n,spi_dual_tb.dut.sclk_in,spi_dual_tb.dut.ss_in,spi_dual_tb.tx_data,spi_dual_tb.dut.tx_valid,spi_dual_tb.dut.irq_clear,spi_dual_tb.dut.tx_data,spi_dual_tb.dut.ss_n,spi_dual_tb.dut.rx_data,spi_dual_tb.dut.CLOCK_DIVIDER,spi_dual_tb.dut.CPOL,spi_dual_tb.dut.DATA_WIDTH,spi_dual_tb.dut.DEFAULT_DATA_ENABLED,spi_dual_tb.dut.DEFAULT_DATA_VALUE,spi_dual_tb.dut.FIFO_DEPTH,spi_dual_tb.dut.MAX_SLAVES,spi_dual_tb.dut.MODE,spi_dual_tb.dut.MSB_FIRST,spi_dual_tb.dut.NUM_SLAVES,spi_dual_tb.dut.SAMPLE_ON_RISING,spi_dual_tb.dut.SLAVE_ACTIVE_LOW,spi_dual_tb.dut.SLAVE_TIMEOUT_CYCLES,spi_dual_tb.dut.default_data,spi_dual_tb.dut.master_bit_counter,spi_dual_tb.dut.master_busy,spi_dual_tb.dut.master_rx_data_buffer,spi_dual_tb.dut.master_rx_shift_reg,spi_dual_tb.dut.master_rx_valid_buffer,spi_dual_tb.dut.master_sclk_counter,spi_dual_tb.dut.master_sclk_en,spi_dual_tb.dut.master_ss_n_reg,spi_dual_tb.dut.master_start_rx,spi_dual_tb.dut.master_start_tx,spi_dual_tb.dut.master_tx_ready_buffer,spi_dual_tb.dut.master_tx_shift_reg,spi_dual_tb.dut.slave_bit_counter,spi_dual_tb.dut.slave_busy_buffer,spi_dual_tb.dut.slave_rx_data_buffer,spi_dual_tb.dut.slave_rx_valid_buffer,spi_dual_tb.dut.slave_sclk_last_state,spi_dual_tb.dut.slave_ss_last_state,spi_dual_tb.dut.slave_timeout_counter,spi_dual_tb.dut.slave_transaction_active,spi_dual_tb.dut.slave_tx_ready_buffer,spi_dual_tb.dut.slave_tx_shift_reg,spi_dual_tb.wait_master.MASTER_TX_TIMEOUT_CYCLES,spi_dual_tb.wait_master.timeout
100000,0,1,b1111,1,0,bx,0,0,0,b10,b100000,b0,b10100101101001011010010110100101,b10000,b1000,b10,b1,b100,b1,0,1,0,0,1,1,1,b0,0,0,b0,b1111,bx,b10,b1,b100000,b0,b10100101101001011010010110100101,b10000,b1000,b10,b1,b100,b0,b1,b11001000,b10100101101001011010010110100101,b0,0,bx,b0,0,b0,0,b1111,0,0,1,b0,b0,0,b0,0,1,1,b0,0,0,b10100101101001011010010110100101,b1001110001000,bx
110000,0,1,b1111,1,0,bx,0,0,0,b10,b100000,b0,b10100101101001011010010110100101,b10000,b1000,b10,b1,b100,b1,1,1,0,0,1,1,1,b0,0,0,b0,b1111,bx,b10,b1,b100000,b0,b10100101101001011010010110100101,b10000,b1000,b10,b1,b100,b0,b1,b11001000,b10100101101001011010010110100101,b0,0,bx,b0,0,b0,0,b1111,0,0,1,b0,b0,0,b0,0,1,1,b0,0,0,b10100101101001011010010110100101,b1001110001000,bx
120000,0,1,b1111,1,0,bx,0,0,0,b10,b100000,b0,b10100101101001011010010110100101,b10000,b1000,b10,b1,b100,b1,0,1,0,0,1,1,1,b0,0,0,b0,b1111,bx,b10,b1,b100000,b0,b10100101101001011010010110100101,b10000,b1000,b10,b1,b100,b0,b1,b11001000,b10100101101001011010010110100101,b0,0,bx,b0,0,b0,0,b1111,0,0,1,b0,b0,0,b0,0,1,1,b0,0,0,b10100101101001011010010110100101,b1001110001000,bx
130000,0,1,b1111,1,0,bx,0,0,0,b10,b100000,b0,b10100101101001011010010110100101,b10000,b1000,b10,b1,b100,b1,1,1,0,0,1,1,1,b0,0,0,b0,b1111,bx,b10,b1,b100000,b0,b10100101101001011010010110100101,b10000,b1000,b10,b1,b100,b0,b1,b11001000,b10100101101001011010010110100101,b0,0,bx,b0,0,b0,0,b1111,0,0,1,b0,b0,0,b0,0,1,1,b0,0,0,b10100101101001011010010110100101,b1001110001000,bx
140000,0,1,b1111,1,0,bx,0,0,0,b10,b100000,b0,b10100101101001011010010110100101,b10000,b1000,b10,b1,b100,b1,0,1,0,0,1,1,1,b0,0,0,b0,b1111,bx,b10,b1,b100000,b0,b10100101101001011010010110100101,b10000,b1000,b10,b1,b100,b0,b1,b11001000,b10100101101001011010010110100101,b0,0,bx,b0,0,b0,0,b1111,0,0,1,b0,b0,0,b0,0,1,1,b0,0,0,b10100101101001011010010110100101,b1001110001000,bx
150000,0,1,b1111,1,0,bx,0,0,0,b10,b100000,b0,b10100101101001011010010110100101,b10000,b1000,b10,b1,b100,b1,1,1,0,0,1,1,1,b0,0,0,b0,b1111,bx,b10,b1,b100000,b0,b10100101101001011010010110100101,b10000,b1000,b10,b1,b100,b0,b1,b11001000,b10100101101001011010010110100101,b0,0,bx,b0,0,b0,0,b1111,0,0,1,b0,b0,0,b0,0,1,1,b0,0,0,b10100101101001011010010110100101,b1001110001000,bx
160000,0,1,b1111,1,0,bx,0,0,0,b10,b100000,b0,b10100101101001011010010110100101,b10000,b1000,b10,b1,b100,b1,0,1,0,0,1,1,1,b0,0,0,b0,b1111,bx,b10,b1,b100000,b0,b10100101101001011010010110100101,b10000,b1000,b10,b1,b100,b0,b1,b11001000,b10100101101001011010010110100101,b0,0,bx,b0,0,b0,0,b1111,0,0,1,b0,b0,0,b0,0,1,1,b0,0,0,b10100101101001011010010110100101,b1001110001000,bx
170000,0,1,b1111,1,0,bx,0,0,0,b10,b100000,b0,b10100101101001011010010110100101,b10000,b1000,b10,b1,b100,b1,1,1,0,0,1,1,1,b0,0,0,b0,b1111,bx,b10,b1,b100000,b0,b10100101101001011010010110100101,b10000,b1000,b10,b1,b100,b0,b1,b11001000,b10100101101001011010010110100101,b0,0,bx,b0,0,b0,0,b1111,0,0,1,b0,b0,0,b0,0,1,1,b0,0,0,b10100101101001011010010110100101,b1001110001000,bx
180000,0,1,b1111,1,0,bx,0,0,0,b10,b100000,b0,b10100101101001011010010110100101,b10000,b1000,b10,b1,b100,b1,0,1,0,0,1,1,1,b0,0,0,b0,b1111,bx,b10,b1,b100000,b0,b10100101101001011010010110100101,b10000,b1000,b10,b1,b100,b0,b1,b11001000,b10100101101001011010010110100101,b0,0,bx,b0,0,b0,0,b1111,0,0,1,b0,b0,0,b0,0,1,1,b0,0,0,b10100101101001011010010110100101,b1001110001000,bx
190000,0,1,b1111,1,0,bx,0,0,0,b10,b100000,b0,b10100101101001011010010110100101,b10000,b1000,b10,b1,b100,b1,1,1,0,0,1,1,1,b0,0,0,b0,b1111,bx,b10,b1,b100000,b0,b10100101101001011010010110100101,b10000,b1000,b10,b1,b100,b0,b1,b11001000,b10100101101001011010010110100101,b0,0,bx,b0,0,b0,0,b1111,0,0,1,b0,b0,0,b0,0,1,1,b0,0,0,b10100101101001011010010110100101,b1001110001000,bx
200000,0,1,b1111,1,0,bx,0,0,0,b10,b100000,b0,b10100101101001011010010110100101,b10000,b1000,b10,b1,b100,b1,0,1,0,0,1,1,1,b0,0,0,b0,b1111,bx,b10,b1,b100000,b0,b10100101101001011010010110100101,b10000,b1000,b10,b1,b100,b0,b1,b11001000,b10100101101001011010010110100101,b0,0,bx,b0,0,b0,0,b1111,0,0,1,b0,b0,0,b0,0,1,1,b0,0,0,b10100101101001011010010110100101,b1001110001000,bx
210000,0,1,b1111,1,0,bx,0,0,0,b10,b100000,b0,b10100101101001011010010110100101,b10000,b1000,b10,b1,b100,b1,1,1,0,0,1,1,1,b0,0,0,b0,b1111,bx,b10,b1,b100000,b0,b10100101101001011010010110100101,b10000,b1000,b10,b1,b100,b0,b1,b11001000,b10100101101001011010010110100101,b0,0,bx,b0,0,b0,0,b1111,0,0,1,b0,b0,0,b0,0,1,1,b0,0,0,b10100101101001011010010110100101,b1001110001000,bx
220000,0,1,b1111,1,0,bx,0,0,0,b10,b100000,b0,b10100101101001011010010110100101,b10000,b1000,b10,b1,b100,b1,0,1,0,0,1,1,1,b0,0,0,b0,b1111,bx,b10,b1,b100000,b0,b10100101101001011010010110100101,b10000,b1000,b10,b1,b100,b0,b1,b11001000,b10100101101001011010010110100101,b0,0,bx,b0,0,b0,0,b1111,0,0,1,b0,b0,0,b0,0,1,1,b0,0,0,b10100101101001011010010110100101,b1001110001000,bx
230000,0,1,b1111,1,0,bx,0,0,0,b10,b100000,b0,b10100101101001011010010110100101,b10000,b1000,b10,b1,b100,b1,1,1,0,0,1,1,1,b0,0,0,b0,b1111,bx,b10,b1,b100000,b0,b10100101101001011010010110100101,b10000,b1000,b10,b1,b100,b0,b1,b11001000,b10100101101001011010010110100101,b0,0,bx,b0,0,b0,0,b1111,0,0,1,b0,b0,0,b0,0,1,1,b0,0,0,b10100101101001011010010110100101,b1001110001000,bx
240000,0,1,b1111,1,0,bx,0,0,0,b10,b100000,b0,b10100101101001011010010110100101,b10000,b1000,b10,b1,b100,b1,0,1,0,0,1,1,1,b0,0,0,b0,b1111,bx,b10,b1,b100000,b0,b10100101101001011010010110100101,b10000,b1000,b10,b1,b100,b0,b1,b11001000,b10100101101001011010010110100101,b0,0,bx,b0,0,b0,0,b1111,0,0,1,b0,b0,0,b0,0,1,1,b0,0,0,b10100101101001011010010110100101,b1001110001000,bx
250000,0,1,b1111,1,0,bx,0,0,0,b10,b100000,b0,b10100101101001011010010110100101,b10000,b1000,b10,b1,b100,b1,1,1,0,0,1,1,1,b0,0,0,b0,b1111,bx,b10,b1,b100000,b0,b10100101101001011010010110100101,b10000,b1000,b10,b1,b100,b0,b1,b11001000,b10100101101001011010010110100101,b0,0,bx,b0,0,b0,0,b1111,0,0,1,b0,b0,0,b0,0,1,1,b0,0,0,b10100101101001011010010110100101,b1001110001000,bx
260000,0,1,b1111,1,0,bx,0,0,0,b10,b100000,b0,b10100101101001011010010110100101,b10000,b1000,b10,b1,b100,b1,0,1,0,0,1,1,1,b0,0,0,b0,b1111,bx,b10,b1,b100000,b0,b10100101101001011010010110100101,b10000,b1000,b10,b1,b100,b0,b1,b11001000,b10100101101001011010010110100101,b0,0,bx,b0,0,b0,0,b1111,0,0,1,b0,b0,0,b0,0,1,1,b0,0,0,b10100101101001011010010110100101,b1001110001000,bx
270000,0,1,b1111,1,0,bx,0,0,0,b10,b100000,b0,b10100101101001011010010110100101,b10000,b1000,b10,b1,b100,b1,1,1,0,0,1,1,1,b0,0,0,b0,b1111,bx,b10,b1,b100000,b0,b10100101101001011010010110100101,b10000,b1000,b10,b1,b100,b0,b1,b11001000,b10100101101001011010010110100101,b0,0,bx,b0,0,b0,0,b1111,0,0,1,b0,b0,0,b0,0,1,1,b0,0,0,b10100101101001011010010110100101,b1001110001000,bx
280000,0,1,b1111,1,0,bx,0,0,0,b10,b100000,b0,b10100101101001011010010110100101,b10000,b1000,b10,b1,b100,b1,0,1,0,0,1,1,1,b0,0,0,b0,b1111,bx,b10,b1,b100000,b0,b10100101101001011010010110100101,b10000,b1000,b10,b1,b100,b0,b1,b11001000,b10100101101001011010010110100101,b0,0,bx,b0,0,b0,0,b1111,0,0,1,b0,b0,0,b0,0,1,1,b0,0,0,b10100101101001011010010110100101,b1001110001000,bx
290000,0,1,b1111,1,0,bx,0,0,0,b10,b100000,b0,b10100101101001011010010110100101,b10000,b1000,b10,b1,b100,b1,1,1,0,0,1,1,1,b0,0,0,b0,b1111,bx,b10,b1,b100000,b0,b10100101101001011010010110100101,b10000,b1000,b10,b1,b100,b0,b1,b11001000,b10100101101001011010010110100101,b0,0,bx,b0,0,b0,0,b1111,0,0,1,b0,b0,0,b0,0,1,1,b0,0,0,b10100101101001011010010110100101,b1001110001000,bx
300000,0,1,b1111,1,0,bx,0,0,0,b10,b100000,b0,b10100101101001011010010110100101,b10000,b1000,b10,b1,b100,b1,0,1,0,0,1,1,1,b10100101101001011010010110100101,0,0,b10100101101001011010010110100101,b1111,bx,b10,b1,b100000,b0,b10100101101001011010010110100101,b10000,b1000,b10,b1,b100,b0,b1,b11001000,b10100101101001011010010110100101,b0,0,bx,b0,0,b0,0,b1111,0,0,1,b0,b0,0,b0,0,1,1,b0,0,0,b10100101101001011010010110100101,b1001110001000,bx
310000,0,0,b1110,1,0,bx,1,0,1,b10,b100000,b0,b10100101101001011010010110100101,b10000,b1000,b10,b1,b100,b1,1,1,0,0,1,1,1,b10100101101001011010010110100101,1,0,b10100101101001011010010110100101,b1110,bx,b10,b1,b100000,b0,b10100101101001011010010110100101,b10000,b1000,b10,b1,b100,b0,b1,b11001000,b10100101101001011010010110100101,b0,1,bx,b0,0,b0,1,b1110,0,1,0,b10100101101001011010010110100101,b0,0,b0,0,1,1,b0,0,0,b10100101101001011010010110100101,b1001110001000,bx
320000,0,0,b1110,1,0,bx,1,0,1,b10,b100000,b0,b10100101101001011010010110100101,b10000,b1000,b10,b1,b100,b1,0,1,0,0,1,1,1,b10100101101001011010010110100101,1,0,b10100101101001011010010110100101,b1110,bx,b10,b1,b100000,b0,b10100101101001011010010110100101,b10000,b1000,b10,b1,b100,b0,b1,b11001000,b10100101101001011010010110100101,b0,1,bx,b0,0,b0,1,b1110,0,1,0,b10100101101001011010010110100101,b0,0,b0,0,1,1,b0,0,0,b10100101101001011010010110100101,b1001110001000,bx
330000,0,0,b1110,0,0,bx,1,0,1,b10,b100000,b0,b10100101101001011010010110100101,b10000,b1000,b10,b1,b100,b1,1,1,0,0,1,1,1,b10100101101001011010010110100101,0,0,b10100101101001011010010110100101,b1110,bx,b10,b1,b100000,b0,b10100101101001011010010110100101,b10000,b1000,b10,b1,b100,b0,b1,b11001000,b10100101101001011010010110100101,b0,1,bx,b0,0,b1,1,b1110,0,0,0,b10100101101001011010010110100101,b0,0,b0,0,1,1,b0,0,0,b10100101101001011010010110100101,b1001110001000,b0
340000,0,0,b1110,0,0,bx,1,0,1,b10,b100000,b0,b10100101101001011010010110100101,b10000,b1000,b10,b1,b100,b1,0,1,0,0,1,1,1,b10100101101001011010010110100101,0,0,b10100101101001011010010110100101,b1110,bx,b10,b1,b100000,b0,b10100101101001011010010110100101,b10000,b1000,b10,b1,b100,b0,b1,b11001000,b10100101101001011010010110100101,b0,1,bx,b0,0,b1,1,b1110,0,0,0,b10100101101001011010010110100101,b0,0,b0,0,1,1,b0,0,0,b10100101101001011010010110100101,b1001110001000,b0
350000,0,0,b1110,1,0,bx,1,0,1,b10,b100000,b0,b10100101101001011010010110100101,b10000,b1000,b10,b1,b100,b1,1,1,0,0,1,1,1,b10100101101001011010010110100101,0,0,b10100101101001011010010110100101,b1110,bx,b10,b1,b100000,b0,b10100101101001011010010110100101,b10000,b1000,b10,b1,b100,b0,b1,b11001000,b10100101101001011010010110100101,b0,1,bx,b0,0,b10,1,b1110,0,0,0,b10100101101001011010010110100101,b0,0,b0,0,1,1,b0,0,0,b10100101101001011010010110100101,b1001110001000,b1
360000,0,0,b1110,1,0,bx,1,0,1,b10,b100000,b0,b10100101101001011010010110100101,b10000,b1000,b10,b1,b100,b1,0,1,0,0,1,1,1,b10100101101001011010010110100101,0,0,b10100101101001011010010110100101,b1110,bx,b10,b1,b100000,b0,b10100101101001011010010110100101,b10000,b1000,b10,b1,b100,b0,b1,b11001000,b10100101101001011010010110100101,b0,1,bx,b0,0,b10,1,b1110,0,0,0,b10100101101001011010010110100101,b0,0,b0,0,1,1,b0,0,0,b10100101101001011010010110100101,b1001110001000,b1
370000,0,0,b1110,1,0,bx,0,0,1,b10,b100000,b0,b10100101101001011010010110100101,b10000,b1000,b10,b1,b100,b1,1,1,0,0,1,1,1,b10100101101001011010010110100101,0,0,b10100101101001011010010110100101,b1110,bx,b10,b1,b100000,b0,b10100101101001011010010110100101,b10000,b1000,b10,b1,b100,b0,b1,b11001000,b10100101101001011010010110100101,b1,1,bx,b0,0,b0,1,b1110,0,0,0,b1001011010010110100101101001010,b0,0,b0,0,1,1,b0,0,0,b10100101101001011010010110100101,b1001110001000,b10
380000,0,0,b1110,1,0,bx,0,0,1,b10,b100000,b0,b10100101101001011010010110100101,b10000,b1000,b10,b1,b100,b1,0,1,0,0,1,1,1,b10100101101001011010010110100101,0,0,b10100101101001011010010110100101,b1110,bx,b10,b1,b100000,b0,b10100101101001011010010110100101,b10000,b1000,b10,b1,b100,b0,b1,b11001000,b10100101101001011010010110100101,b1,1,bx,b0,0,b0,1,b1110,0,0,0,b1001011010010110100101101001010,b0,0,b0,0,1,1,b0,0,0,b10100101101001011010010110100101,b1001110001000,b10
390000,0,0,b1110,0,0,bx,0,0,1,b10,b100000,b0,b10100101101001011010010110100101,b10000,b1000,b10,b1,b100,b1,1,1,0,0,1,1,1,b10100101101001011010010110100101,0,0,b10100101101001011010010110100101,b1110,bx,b10,b1,b100000,b0,b10100101101001011010010110100101,b10000,b1000,b10,b1,b100,b0,b1,b11001000,b10100101101001011010010110100101,b1,1,bx,b0,0,b1,1,b1110,0,0,0,b1001011010010110100101101001010,b0,0,b0,0,1,1,b0,0,0,b10100101101001011010010110100101,b1001110001000,b11
400000,0,0,b1110,0,0,bx,0,0,1,b10,b100000,b0,b10100101101001011010010110100101,b10000,b1000,b10,b1,b100,b1,0,1,0,0,1,1,1,b10100101101001011010010110100101,0,0,b10100101101001011010010110100101,b1110,bx,b10,b1,b100000,b0,b10100101101001011010010110100101,b10000,b1000,b10,b1,b100,b0,b1,b11001000,b10100101101001011010010110100101,b1,1,bx,b0,0,b1,1,b1110,0,0,0,b1001011010010110100101101001010,b0,0,b0,0,1,1,b0,0,0,b10100101101001011010010110100101,b1001110001000,b11
410000,0,0,b1110,1,0,bx,0,0,1,b10,b100000,b0,b10100101101001011010010110100101,b10000,b1000,b10,b1,b100,b1,1,1,0,0,1,1,1,b10100101101001011010010110100101,0,0,b10100101101001011010010110100101,b1110,bx,b10,b1,b100000,b0,b10100101101001011010010110100101,b10000,b1000,b10,b1,b100,b0,b1,b11001000,b10100101101001011010010110100101,b1,1,bx,b0,0,b10,1,b1110,0,0,0,b1001011010010110100101101001010,b0,0,b0,0,1,1,b0,0,0,b10100101101001011010010110100101,b1001110001000,b100
420000,0,0,b1110,1,0,bx,0,0,1,b10,b100000,b0,b10100101101001011010010110100101,b10000,b1000,b10,b1,b100,b1,0,1,0,0,1,1,1,b10100101101001011010010110100101,0,0,b10100101101001011010010110100101,b1110,bx,b10,b1,b100000,b0,b10100101101001011010010110100101,b10000,b1000,b10,b1,b100,b0,b1,b11001000,b10100101101001011010010110100101,b1,1,bx,b0,0,b10,1,b1110,0,0,0,b1001011010010110100101101001010,b0,0,b0,0,1,1,b0,0,0,b10100101101001011010010110100101,b1001110001000,b100
430000,0,0,b1110,1,0,bx,1,0,1,b10,b100000,b0,b10100101101001011010010110100101,b10000,b1000,b10,b1,b100,b1,1,1,0,0,1,1,1,b10100101101001011010010110100101,0,0,b10100101101001011010010110100101,b1110,bx,b10,b1,b100000,b0,b10100101101001011010010110100101,b10000,b1000,b10,b1,b100,b0,b1,b11001000,b10100101101001011010010110100101,b10,1,bx,b0,0,b0,1,b1110,0,0,0,b10010110100101101001011010010100,b0,0,b0,0,1,1,b0,0,0,b10100101101001011010010110100101,b1001110001000,b101
